source                             tier   anchors     cands   fetched   nav_err       old   recency     short      junk   wl_drop   wl_pass  cap_drop    capped   undated  worklist  degraded
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
bloombergnef_free_content          Deep       220        14        14         0        13         1         1         0         0         0         0         0         0         0         0
fabricated_knowledge               Deep        78        13        13         0        12         1         1         0         0         0         0         0         0         0         0
google_ai_blog                     Deep       158        12        12         0        12         0         0         0         0         0         0         0         0         0         0
hugging_face_blog                  Deep       103        14        14         0        14         0         0         0         0         0         0         0         0         0         0
ieee_spectrum                      Deep       375        37        37         0        31         6         6         0         0         0         0         0         0         0         0
timmerman_report                   Deep       296        53        53         0        53         0         0         0         0         0         0         0         0         0         0
anyscale_ray_blog                  Deep       110        16        16         0        15         1         0         0         0         1         0         1         0         1         0
meta_ai_blog                       Deep        88         8         8         0         7         1         0         0         0         1         0         1         0         1         0
semianalysis                       Deep       198        11        11         0        10         1         0         0         0         1         0         1         0         1         0
the_next_platform                  Deep       156        93        57         0        55         2         0         1         0         1         0         1         0         1         0
weights_biases_blog                Deep       435        19        19         0        18         1         0         0         0         1         0         1         0         1         0
benchmark_minerals                 Deep       150        35        35         0        33         2         0         0         0         2         0         2         0         2         0
carbon_brief                       Deep        98        15        15         0        13         2         0         0         0         2         0         2         0         2         0
nature_machine_intelligence        Deep       119        24        24         0        22         2         0         0         0         2         0         2         0         2         0
together_ai_blog                   Deep       339        55        55         0        52         3         1         0         0         2         0         2         0         2         0
mit_csail                          Deep       157        15        15         0        11         4         1         0         0         3         0         3         0         3         0
mit_technology_review              Flow       281        74        56         0        53         3         0         0         0         3         0         3         0         3         0
servethehome                       Deep       152        24        24         0        21         3         0         0         0         3         0         3         0         3         0
cohere_blog                        Deep       301        16        16         0        12         4         0         0         0         4         0         4         0         4         0
microsoft_research_blog            Deep       212        27        27         0        22         5         1         0         0         4         0         4         0         4         0
nature_biotechnology               Deep       132        39        39         0        34         5         0         1         0         4         0         4         0         4         0
nature_energy                      Deep       120        34        34         0        30         4         0         0         0         4         0         4         0         4         0
nvidia_developer_blog              Flow       180        97        50         0        46         4         0         0         0         4         0         4         0         4         0
semiconductor_engineering          Deep       162        35        35         0        31         4         0         0         0         4         0         4         0         4         0
wood_mackenzie                     Deep       296        16        16         0         7         9         4         1         0         4         0         4         0         4         0
apple_ml_research                  Deep      4999      1123        32         0         1        31         0         1         0        30         0        30        25         5         0
mistral_blog                       Deep       215        21        21         0         0        21         0         0         0        21         0        21        16         5         0
quantum_computing_report           Deep       106        13        11         2         5         6         1         0         0         5         0         5         0         5         0
wired                              Flow       174        62        28         0        12        16         9         0         0         7         0         7         0         7         0
semiwiki                           Deep       352        44        35         0        25        10         0         0         0        10         0        10         0        10         0
infoq                              Flow       331        55        55         0        40        15         2         0         0        13         0        13         0        13         0
ars_technica                       Flow       203        38        38         0        19        19         0         0         0        19         0        19         0        19         0
