source                             tier   anchors     cands   fetched   nav_err       old   recency     short      junk   wl_drop   wl_pass  cap_drop    capped   undated  worklist  degraded
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
bloombergnef_free_content          Deep       220        14        14         0        13         1         1         0         0         0         0         0         0         0         0
fabricated_knowledge               Deep        78        13        13         0        13         0         0         0         0         0         0         0         0         0         0
ieee_spectrum                      Deep       385        37        37         0        26        11        11         0         0         0         0         0         0         0         0
the_next_platform                  Deep       156        91        57         0        57         0         0         0         0         0         0         0         0         0         0
timmerman_report                   Deep       314        58        58         0        58         0         0         0         0         0         0         0         0         0         0
wood_mackenzie                     Deep       291        11        11         0         6         5         4         1         0         0         0         0         0         0         0
anyscale_ray_blog                  Deep       109        14        14         0        13         1         0         0         0         1         0         1         0         1         0
google_ai_blog                     Deep       223        13        13         0        12         1         0         0         0         1         0         1         0         1         0
meta_ai_blog                       Deep        85         8         8         0         7         1         0         0         0         1         0         1         0         1         0
mistral_blog                       Deep       212        21        21         0        20         1         0         0         0         1         0         1         0         1         0
semianalysis                       Deep       195        11        11         0        10         1         0         0         0         1         0         1         0         1         0
together_ai_blog                   Deep       333        48        48         0        46         2         1         0         0         1         0         1         0         1         0
weights_biases_blog                Deep       435        19        19         0        18         1         0         0         0         1         0         1         0         1         0
benchmark_minerals                 Deep       150        33        33         0        31         2         0         0         0         2         0         2         0         2         0
carbon_brief                       Deep       431        33        33         0        30         3         0         1         0         2         0         2         0         2         0
cohere_blog                        Deep       297        14        14         0        12         2         0         0         0         2         0         2         0         2         0
hugging_face_blog                  Deep       103        14        14         0        12         2         0         0         0         2         0         2         0         2         0
mit_csail                          Deep       157        15        15         0        11         4         1         0         0         3         0         3         0         3         0
mit_technology_review              Flow       283        74        55         0        52         3         0         0         0         3         0         3         0         3         0
nature_machine_intelligence        Deep       120        28        28         0        25         3         0         0         0         3         0         3         0         3         0
servethehome                       Deep       152        24        24         0        21         3         0         0         0         3         0         3         0         3         1
semiconductor_engineering          Deep       162        37        37         0        33         4         0         0         0         4         0         4         0         4         0
apple_ml_research                  Deep      4919      1104        31         0         0        31         0         1         0        30         0        30        25         5         0
microsoft_research_blog            Deep       215        27        27         0        21         6         1         0         0         5         0         5         0         5         0
quantum_computing_report           Deep       104        13        11         2         5         6         1         0         0         5         0         5         0         5         0
nature_energy                      Deep       120        32        32         0        26         6         0         0         0         6         0         6         0         6         0
nature_biotechnology               Deep       131        39        39         0        32         7         0         0         0         7         0         7         0         7         0
nvidia_developer_blog              Flow       180        96        57         0        50         7         0         0         0         7         0         7         0         7         0
wired                              Flow       181        67        24         0        11        13         5         0         0         8         0         8         0         8         1
semiwiki                           Deep       346        50        50         0        35        15         1         0         0        14         0        14         0        14         0
infoq                              Flow       349        61        60         0        43        17         1         0         0        16         0        16         0        16         0
ars_technica                       Flow       205        38        32         0         1        31         0         1         0        30         5        25         0        25         0
