source                             tier   anchors     cands   fetched   nav_err       old   recency     short      junk   wl_drop   wl_pass  cap_drop    capped   undated  worklist  degraded
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
fabricated_knowledge               Deep        84        15        15         0        15         0         0         0         0         0         0         0         0         0         0
ieee_spectrum                      Deep       377        31        31         0        20        11        11         0         0         0         0         0         0         0         0
semianalysis                       Deep       201        11        11         0        10         1         1         0         0         0         0         0         0         0         0
anyscale_ray_blog                  Deep       150        12        12         0        11         1         0         0         0         1         0         1         0         1         0
bloombergnef_free_content          Deep       219        15        15         0        13         2         1         0         0         1         0         1         0         1         0
mistral_blog                       Deep       222        23        23         0        22         1         0         0         0         1         0         1         0         1         0
timmerman_report                   Deep       289        50        50         0        48         2         1         0         0         1         0         1         0         1         0
benchmark_minerals                 Deep       150        34        34         0        31         3         1         0         0         2         0         2         0         2         0
cohere_blog                        Deep       381        19        19         0        17         2         0         0         0         2         0         2         0         2         0
meta_ai_blog                       Deep        97        10        10         0         8         2         0         0         0         2         0         2         0         2         0
the_next_platform                  Deep       156        92        59         0        57         2         0         0         0         2         0         2         0         2         0
together_ai_blog                   Deep       358        65        58         0        55         3         1         0         0         2         0         2         0         2         0
weights_biases_blog                Deep       440        19        19         0        17         2         0         0         0         2         0         2         0         2         0
carbon_brief                       Deep        98        22        22         0        19         3         0         0         0         3         0         3         0         3         0
google_ai_blog                     Deep       158        13        13         0        10         3         0         0         0         3         0         3         0         3         0
mit_csail                          Deep       154        16        16         0        11         5         2         0         0         3         0         3         0         3         0
wood_mackenzie                     Deep       302        15        15         0         7         8         4         1         0         3         0         3         0         3         0
hugging_face_blog                  Deep       103        13        13         0         9         4         0         0         0         4         0         4         0         4         0
microsoft_research_blog            Deep       205        27        27         0        22         5         1         0         0         4         0         4         0         4         0
nature_biotechnology               Deep       132        39        39         0        34         5         0         1         0         4         0         4         0         4         0
nature_machine_intelligence        Deep       119        27        27         0        23         4         0         0         0         4         0         4         0         4         0
nvidia_developer_blog              Flow       180        97        50         0        46         4         0         0         0         4         0         4         0         4         0
servethehome                       Deep       152        24        24         0        20         4         0         0         0         4         0         4         0         4         0
apple_ml_research                  Deep      5099      1151        31         0         1        30         0         0         0        30         0        30        25         5         0
quantum_computing_report           Deep       106        13        11         2         5         6         1         0         0         5         0         5         0         5         0
semiconductor_engineering          Deep       162        38        38         0        30         8         0         0         0         8         0         8         0         8         0
wired                              Flow       163        61        41         0        13        28        18         1         0         9         0         9         0         9         0
mit_technology_review              Flow       285        78        55         0        45        10         0         0         0        10         0        10         0        10         0
nature_energy                      Deep       120        33        28         0        17        11         0         0         0        11         0        11         0        11         0
semiwiki                           Deep       357        43        43         0        24        19         2         1         0        16         0        16         0        16         0
infoq                              Flow       360        59        59         0        40        19         2         0         0        17         0        17         0        17         0
ars_technica                       Flow       203        38        30         0         0        30         0         0         0        30         5        25         0        25         0
