source                             tier   anchors     cands   fetched   nav_err       old   recency     short      junk   wl_drop   wl_pass  cap_drop    capped   undated  worklist
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
bloombergnef_free_content          Deep       220        14        14         0        13         1         1         0         0         0         0         0         0         0
fabricated_knowledge               Deep        76        13        13         0        13         0         0         0         0         0         0         0         0         0
ieee_spectrum                      Deep       407        38        38         0        28        10        10         0         0         0         0         0         0         0
meta_ai_blog                       Deep        84         8         8         0         8         0         0         0         0         0         0         0         0         0
mistral_blog                       Deep       207        19        19         0        19         0         0         0         0         0         0         0         0         0
timmerman_report                   Deep       313        58        58         0        58         0         0         0         0         0         0         0         0         0
anyscale_ray_blog                  Deep       108        13        13         0        12         1         0         0         0         1         0         1         0         1
google_ai_blog                     Deep       223        12        12         0        11         1         0         0         0         1         0         1         0         1
semianalysis                       Deep       195        11        11         0        10         1         0         0         0         1         0         1         0         1
together_ai_blog                   Deep       319        49        49         0        47         2         1         0         0         1         0         1         0         1
weights_biases_blog                Deep       430        19        19         0        18         1         0         0         0         1         0         1         0         1
cohere_blog                        Deep       296        15        15         0        13         2         0         0         0         2         0         2         0         2
hugging_face_blog                  Deep       102        15        15         0        13         2         0         0         0         2         0         2         0         2
semiconductor_engineering          Deep       162        37        37         0        35         2         0         0         0         2         0         2         0         2
the_next_platform                  Deep       157        92        58         0        56         2         0         0         0         2         0         2         0         2
wood_mackenzie                     Deep       296        16        16         0         9         7         4         1         0         2         0         2         0         2
mit_csail                          Deep       157        15        15         0        11         4         1         0         0         3         0         3         0         3
nature_energy                      Deep       119        31        31         0        28         3         0         0         0         3         0         3         0         3
servethehome                       Deep       152        24        24         0        21         3         0         0         0         3         0         3         0         3
benchmark_minerals                 Deep       149        33        33         0        28         5         1         0         0         4         0         4         0         4
microsoft_research_blog            Deep       218        27        27         0        22         5         1         0         0         4         0         4         0         4
mit_technology_review              Flow       286        74        47         0        43         4         0         0         0         4         0         4         0         4
nature_machine_intelligence        Deep       118        29        29         0        25         4         0         0         0         4         0         4         0         4
nvidia_developer_blog              Flow       179        96        55         0        51         4         0         0         0         4         0         4         0         4
apple_ml_research                  Deep      4750      1064        31         0         0        31         0         1         0        30         0        30        25         5
quantum_computing_report           Deep       104        13        11         2         5         6         1         0         0         5         0         5         0         5
carbon_brief                       Deep       431        34        34         0        28         6         0         0         0         6         0         6         0         6
nature_biotechnology               Deep       130        38        38         0        32         6         0         0         0         6         0         6         0         6
infoq                              Flow       343        65        59         1        47        12         0         0         0        12         0        12         0        12
semiwiki                           Deep       347        49        49         0        33        16         1         1         0        14         0        14         0        14
ars_technica                       Flow       206        38        38         0        21        17         0         0         0        17         0        17         0        17
wired                              Flow       191        78        26         0         7        19         0         0         0        19         0        19         0        19
