source                             tier   anchors     cands   fetched   nav_err       old   recency     short      junk   wl_drop   wl_pass  cap_drop    capped   undated  worklist  degraded
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
apricitas_economics                Flow        81         9         9         0         9         0         0         0         0         0         0         0         0         0         0
brookings_institution              Deep       103         7         7         0         7         0         0         0         0         0         0         0         0         0         0
center_for_american_progress       Flow       245        57        55         0         1        54        54         0         0         0         0         0         0         0         0
east_asia_forum                    Flow       310        25        25         0         1        24        24         0         0         0         0         0         0         0         0
hudson_institute                   Deep       109        11        11         0        11         0         0         0         0         0         0         0         0         0         0
long_now_foundation                Deep       130        19        19         0        19         0         0         0         0         0         0         0         0         0         0
macropolo_paulson_institute        Flow         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
marginal_revolution_tyler_cow      Flow       286        36        36         0         0        36        36         0         0         0         0         0         0         0         0
n_1_magazine                       Deep         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
oecd_insights                      Flow         2         0         0         0         0         0         0         0         0         0         0         0         0         0         0
the_new_atlantis                   Deep       161        33        33         0        33         0         0         0         0         0         0         0         0         0         0
cato_institute                     Flow       121         3         3         0         2         1         0         0         0         1         0         1         0         1         0
german_marshall_fund               Deep        71         4         4         0         2         2         1         0         0         1         0         1         0         1         0
iiss                               Deep        90        16        16         0        10         6         0         5         0         1         0         1         0         1         0
merics                             Flow       181        16        16         0        14         2         0         1         0         1         0         1         0         1         0
palladium_magazine                 Deep       103        18        18         0        17         1         0         0         0         1         0         1         0         1         0
rand_corporation                   Deep        87         7         7         0         6         1         0         0         0         1         0         1         0         1         0
santa_fe_institute                 Deep       132        21        21         0        20         1         0         0         0         1         0         1         0         1         0
the_point_magazine                 Deep       127        15        15         0        13         2         1         0         0         1         0         1         0         1         0
works_in_progress                  Deep      1061       167        57         0        56         1         0         0         0         1         0         1         0         1         0
carnegie_endowment                 Deep        82        26        26         0        20         6         4         0         0         2         0         2         0         2         0
council_on_foreign_relations       Deep       114        54        54         0         1        53        51         0         0         2         0         2         0         2         0
resolution_foundation              Flow       103         6         6         0         3         3         0         0         0         3         0         3         0         3         0
noahpinion_noah_smith              Flow        53         8         8         0         4         4         0         0         0         4         0         4         0         4         0
noema_magazine                     Deep       636        60        56         0        52         4         0         0         0         4         0         4         0         4         0
asia_society_policy_institute      Flow       268        33        33         0        25         8         2         1         0         5         0         5         0         5         0
european_council_on_foreign_r      Flow       224        37        37         0        31         6         1         0         0         5         0         5         0         5         0
hedgehog_review                    Deep        75         7         7         0         1         6         0         0         0         6         0         6         1         5         0
slow_boring_matt_yglesias          Flow        73        16        16         0         6        10         5         0         0         5         0         5         0         5         0
the_wire_china                     Flow       194        21        21         0        16         5         0         0         0         5         0         5         0         5         0
americas_quarterly                 Flow       314        49        49         0        43         6         0         0         0         6         0         6         0         6         0
lawfare_blog                       Flow       234        58        35         0         4        31         0         1         0        30         5        25        19         6         0
engelsberg_ideas                   Deep        90        13        13         0         5         8         0         0         0         8         0         8         0         8         0
institute_for_family_studies       Deep       111        12        12         0         4         8         0         0         0         8         0         8         0         8         0
foreign_affairs                    Flow       343        36        36         0        27         9         0         0         0         9         0         9         0         9         0
project_syndicate                  Flow       289        60        20         0         9        11         2         0         0         9         0         9         0         9         0
atlantic_council                   Deep       296        27        27         0        17        10         0         0         0        10         0        10         0        10         0
world_bank_blogs                   Flow       128        23        23         0        13        10         0         0         0        10         0        10         0        10         0
lowy_institute_the_interprete      Flow       232        43        43         0        27        16         3         2         0        11         0        11         0        11         0
war_on_the_rocks                   Flow        83        23        23         0        11        12         1         0         0        11         0        11         0        11         0
cnas                               Flow       354        64        53         0        35        18         6         0         0        12         0        12         0        12         0
al_monitor                         Flow       265        55        55         0        32        23         9         0         0        14         0        14         0        14         0
prospect_magazine                  Deep       211        72        54         0        20        34         4         0         0        30         0        30        16        14         3
csis                               Deep      1192        41        41         0         0        41         2        22         0        17         0        17         0        17         0
foreign_policy                     Flow       470       102        48         0        25        23         2         0         0        21         0        21         0        21         0
the_diplomat                       Flow       244        73        58         0        14        44        19         0         0        25         0        25         0        25         0
nautilus                           Deep       216        39        39         0        12        27         1         0         0        26         0        26         0        26         0
