source                             tier   anchors     cands   fetched   nav_err       old   recency     short      junk   wl_drop   wl_pass  cap_drop    capped   undated  worklist
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
fabricated_knowledge               Deep        76        13        13         0        13         0         0         0         0         0         0         0         0         0
hugging_face_blog                  Deep       102        14        14         0        14         0         0         0         0         0         0         0         0         0
ieee_spectrum                      Deep       381        36        14         0         8         6         6         0         0         0         0         0         0         0
meta_ai_blog                       Deep        84         8         8         0         8         0         0         0         0         0         0         0         0         0
mistral_blog                       Deep       207        19        19         0        19         0         0         0         0         0         0         0         0         0
timmerman_report                   Deep       313        58        58         0        58         0         0         0         0         0         0         0         0         0
together_ai_blog                   Deep       313        47        47         0        47         0         0         0         0         0         0         0         0         0
anyscale_ray_blog                  Deep       144        13        13         0        12         1         0         0         0         1         0         1         0         1
bloombergnef_free_content          Deep       220        14        14         0        12         2         1         0         0         1         0         1         0         1
cohere_blog                        Deep       295        15        15         0        14         1         0         0         0         1         0         1         0         1
google_ai_blog                     Deep       223        12        12         0        11         1         0         0         0         1         0         1         0         1
the_next_platform                  Deep       156        91        57         0        55         2         1         0         0         1         0         1         0         1
benchmark_minerals                 Deep       151        33        33         0        29         4         2         0         0         2         0         2         0         2
semianalysis                       Deep       195        12        12         0        10         2         0         0         0         2         0         2         0         2
semiconductor_engineering          Deep       162        37        37         0        35         2         0         0         0         2         0         2         0         2
wood_mackenzie                     Deep       296        16        16         0         9         7         4         1         0         2         0         2         0         2
mit_csail                          Deep       157        15        15         0        11         4         1         0         0         3         0         3         0         3
nature_energy                      Deep       120        32        32         0        29         3         0         0         0         3         0         3         0         3
nature_machine_intelligence        Deep       118        29        29         0        26         3         0         0         0         3         0         3         0         3
nvidia_developer_blog              Flow       179        96        51         0        48         3         0         0         0         3         0         3         0         3
microsoft_research_blog            Deep       218        27        27         0        22         5         1         0         0         4         0         4         0         4
servethehome                       Deep       152        24        24         0        20         4         0         0         0         4         0         4         0         4
apple_ml_research                  Deep      4749      1064        31         0         0        31         0         1         0        30         0        30        25         5
mit_technology_review              Flow       286        74        48         0        43         5         0         0         0         5         0         5         0         5
quantum_computing_report           Deep       104        13        11         2         6         5         0         0         0         5         0         5         0         5
wired                              Flow       187        72        30         0        16        14         9         0         0         5         0         5         0         5
nature_biotechnology               Deep       130        38        38         0        32         6         0         0         0         6         0         6         0         6
carbon_brief                       Deep       431        34        34         0        26         8         0         0         0         8         0         8         0         8
techinsights                       Deep       156        14        14         0         6         8         0         0         0         8         0         8         0         8
weights_biases_blog                Deep       188        27        27         0         5        22        10         0         0        12         0        12         0        12
ars_technica                       Flow       204        38        38         0        24        14         0         0         0        14         0        14         0        14
infoq                              Flow       343        68        59         1        44        15         0         0         0        15         0        15         0        15
semiwiki                           Deep       352        50        50         0        34        16         1         0         0        15         0        15         0        15
