source                             tier   anchors     cands   fetched   nav_err       old   recency     short      junk   wl_drop   wl_pass  cap_drop    capped   undated  worklist  degraded
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
fabricated_knowledge               Deep        84        15        15         0        15         0         0         0         0         0         0         0         0         0         0
ieee_spectrum                      Deep       377        33        33         0        21        12        12         0         0         0         0         0         0         0         0
mit_csail                          Deep         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
semianalysis                       Deep       201        11        11         0        10         1         1         0         0         0         0         0         0         0         0
anyscale_ray_blog                  Deep       110        12        12         0        11         1         0         0         0         1         0         1         0         1         0
bloombergnef_free_content          Deep       219        15        15         0        13         2         1         0         0         1         0         1         0         1         0
mistral_blog                       Deep       223        23        23         0        22         1         0         0         0         1         0         1         0         1         0
timmerman_report                   Deep       283        50        50         0        46         4         3         0         0         1         0         1         0         1         0
benchmark_minerals                 Deep       150        34        34         0        30         4         2         0         0         2         0         2         0         2         0
cohere_blog                        Deep       383        18        18         0        16         2         0         0         0         2         0         2         0         2         0
meta_ai_blog                       Deep        97        10        10         0         8         2         0         0         0         2         0         2         0         2         0
weights_biases_blog                Deep       440        19        19         0        17         2         0         0         0         2         0         2         0         2         0
nature_machine_intelligence        Deep       120        27        27         0        24         3         0         0         0         3         0         3         0         3         0
servethehome                       Deep       152        24        24         0        21         3         0         0         0         3         0         3         0         3         0
the_next_platform                  Deep       156        92        57         0        54         3         0         0         0         3         0         3         0         3         0
google_ai_blog                     Deep       158        13        13         0         9         4         0         0         0         4         0         4         0         4         0
hugging_face_blog                  Deep       103        11        11         0         7         4         0         0         0         4         0         4         0         4         0
microsoft_research_blog            Deep       205        27        27         0        22         5         1         0         0         4         0         4         0         4         0
together_ai_blog                   Deep       373        66        58         0        53         5         1         0         0         4         0         4         0         4         0
wood_mackenzie                     Deep       302        16        16         0         7         9         4         1         0         4         0         4         0         4         0
apple_ml_research                  Deep      5116      1154        30         0         0        30         0         0         0        30         0        30        25         5         0
quantum_computing_report           Deep       106        13        11         2         5         6         1         0         0         5         0         5         0         5         0
carbon_brief                       Deep        98        21        21         0        15         6         0         0         0         6         0         6         0         6         0
nvidia_developer_blog              Flow       180        97        53         0        47         6         0         0         0         6         0         6         0         6         0
semiconductor_engineering          Deep       162        38        38         0        29         9         0         0         0         9         0         9         0         9         0
mit_technology_review              Flow       271        77        52         0        42        10         0         0         0        10         0        10         0        10         0
nature_biotechnology               Deep       132        39        39         0        28        11         0         1         0        10         0        10         0        10         0
nature_energy                      Deep       120        33        33         0        22        11         0         0         0        11         0        11         0        11         0
wired                              Flow       160        58        24         0         3        21         8         1         0        12         0        12         0        12         0
infoq                              Flow       361        62        59         0        42        17         2         0         0        15         0        15         0        15         0
semiwiki                           Deep       360        44        44         0        24        20         2         2         0        16         0        16         0        16         0
ars_technica                       Flow       203        38        30         0         0        30         0         0         0        30         5        25         0        25         0
