source                             tier   anchors     cands   fetched   nav_err       old   recency     short      junk   wl_drop   wl_pass  cap_drop    capped   undated  worklist  degraded
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
bloombergnef_free_content          Deep       220        14        14         0        13         1         1         0         0         0         0         0         0         0         0
fabricated_knowledge               Deep        79        13        13         0        13         0         0         0         0         0         0         0         0         0         0
hugging_face_blog                  Deep       103        10        10         0        10         0         0         0         0         0         0         0         0         0         0
ieee_spectrum                      Deep       391        33        33         0        25         8         8         0         0         0         0         0         0         0         0
meta_ai_blog                       Deep        90         8         8         0         8         0         0         0         0         0         0         0         0         0         0
timmerman_report                   Deep       296        53        53         0        51         2         2         0         0         0         0         0         0         0         0
semianalysis                       Deep       198        12        12         0        11         1         0         0         0         1         0         1         0         1         0
the_next_platform                  Deep       156        92        57         0        54         3         2         0         0         1         0         1         0         1         0
weights_biases_blog                Deep       432        19        19         0        18         1         0         0         0         1         0         1         0         1         0
wood_mackenzie                     Deep       296        16        16         0        10         6         4         1         0         1         0         1         0         1         0
anyscale_ray_blog                  Deep       147        15        15         0        13         2         0         0         0         2         0         2         0         2         0
carbon_brief                       Deep        98        14        14         0        12         2         0         0         0         2         0         2         0         2         0
google_ai_blog                     Deep       158        12        12         0        10         2         0         0         0         2         0         2         0         2         0
mit_csail                          Deep       157        15        15         0        12         3         1         0         0         2         0         2         0         2         0
nature_biotechnology               Deep       132        39        39         0        36         3         0         1         0         2         0         2         0         2         0
semiconductor_engineering          Deep       162        35        35         0        33         2         0         0         0         2         0         2         0         2         0
together_ai_blog                   Deep       345        57        57         0        54         3         1         0         0         2         0         2         0         2         0
benchmark_minerals                 Deep       150        34        34         0        31         3         0         0         0         3         0         3         0         3         0
cohere_blog                        Deep       302        17        17         0        14         3         0         0         0         3         0         3         0         3         0
nature_energy                      Deep       120        33        33         0        30         3         0         0         0         3         0         3         0         3         0
servethehome                       Deep       152        24        24         0        21         3         0         0         0         3         0         3         0         3         0
mit_technology_review              Flow       285        75        54         0        50         4         0         0         0         4         0         4         0         4         0
nature_machine_intelligence        Deep       119        26        26         0        22         4         0         0         0         4         0         4         0         4         0
apple_ml_research                  Deep      5009      1126        32         0         1        31         0         1         0        30         0        30        25         5         0
mistral_blog                       Deep       216        21        21         0         0        21         0         0         0        21         0        21        16         5         0
nvidia_developer_blog              Flow       180        97        47         0        42         5         0         0         0         5         0         5         0         5         0
quantum_computing_report           Deep       106        13        11         2         5         6         1         0         0         5         0         5         0         5         0
microsoft_research_blog            Deep       210        27        27         0        20         7         1         0         0         6         0         6         0         6         0
infoq                              Flow       353        55        55         0        44        11         2         0         0         9         0         9         0         9         0
semiwiki                           Deep       348        46        46         0        34        12         2         1         0         9         0         9         0         9         0
wired                              Flow       170        58        27         0         5        22         3         0         0        19         0        19         0        19         0
ars_technica                       Flow       205        38        31         0         1        30         0         0         0        30         5        25         0        25         0
