source                             tier   anchors     cands   fetched   nav_err       old   recency     short      junk   wl_drop   wl_pass  cap_drop    capped   undated  worklist  degraded
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
anyscale_ray_blog                  Deep       109        12        12         0        12         0         0         0         0         0         0         0         0         0         0
carbon_brief                       Deep        98        23        23         0        23         0         0         0         0         0         0         0         0         0         0
fabricated_knowledge               Deep        84        15        15         0        15         0         0         0         0         0         0         0         0         0         0
ieee_spectrum                      Deep       369        31        31         0        23         8         8         0         0         0         0         0         0         0         0
meta_ai_blog                       Deep        86         8         8         0         8         0         0         0         0         0         0         0         0         0         0
semianalysis                       Deep       201        11        11         0        10         1         1         0         0         0         0         0         0         0         0
timmerman_report                   Deep       295        52        52         0        52         0         0         0         0         0         0         0         0         0         0
benchmark_minerals                 Deep       150        33        33         0        32         1         0         0         0         1         0         1         0         1         0
bloombergnef_free_content          Deep       219        15        15         0        13         2         1         0         0         1         0         1         0         1         0
google_ai_blog                     Deep       158        12        12         0        11         1         0         0         0         1         0         1         0         1         0
hugging_face_blog                  Deep       103        13        13         0        12         1         0         0         0         1         0         1         0         1         0
mistral_blog                       Deep       220        23        23         0        22         1         0         0         0         1         0         1         0         1         0
nvidia_developer_blog              Flow       180        97        50         0        43         7         6         0         0         1         0         1         0         1         0
the_next_platform                  Deep       156        92        58         0        57         1         0         0         0         1         0         1         0         1         0
together_ai_blog                   Deep       352        64        57         0        55         2         1         0         0         1         0         1         0         1         0
cohere_blog                        Deep       380        20        20         0        18         2         0         0         0         2         0         2         0         2         0
mit_csail                          Deep       155        15        15         0        12         3         1         0         0         2         0         2         0         2         0
quantum_computing_report           Deep       106        13        10         3         7         3         1         0         0         2         0         2         0         2         0
semiconductor_engineering          Deep       162        37        37         0        35         2         0         0         0         2         0         2         0         2         0
weights_biases_blog                Deep       440        19        19         0        17         2         0         0         0         2         0         2         0         2         0
nature_biotechnology               Deep       132        39        39         0        35         4         0         1         0         3         0         3         0         3         0
nature_machine_intelligence        Deep       119        27        27         0        24         3         0         0         0         3         0         3         0         3         0
servethehome                       Deep       152        24        24         0        21         3         0         0         0         3         0         3         0         3         0
wood_mackenzie                     Deep       301        15        15         0         7         8         4         1         0         3         0         3         0         3         0
microsoft_research_blog            Deep       205        27        27         0        22         5         1         0         0         4         0         4         0         4         0
nature_energy                      Deep       120        32        32         0        28         4         0         0         0         4         0         4         0         4         0
apple_ml_research                  Deep      5099      1151        31         0         1        30         0         0         0        30         0        30        25         5         0
mit_technology_review              Flow       285        76        56         0        51         5         0         0         0         5         0         5         0         5         0
ars_technica                       Flow       201        39        39         0        32         7         0         0         0         7         0         7         0         7         0
wired                              Flow       167        60        30         0        19        11         2         0         0         9         0         9         0         9         0
semiwiki                           Deep       349        42        42         0        25        17         1         1         0        15         0        15         0        15         0
infoq                              Flow       360        61        59         0        41        18         2         0         0        16         0        16         0        16         0
