source                             tier   anchors     cands   fetched   nav_err       old   recency     short      junk   wl_drop   wl_pass  cap_drop    capped   undated  worklist  degraded
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
apricitas_economics                Flow        81        10        10         0        10         0         0         0         0         0         0         0         0         0         0
brookings_institution              Deep       103         7         7         0         7         0         0         0         0         0         0         0         0         0         0
center_for_american_progress       Flow       242        56        56         0         0        56        56         0         0         0         0         0         0         0         0
cnas                               Flow       357        68        55         0        49         6         6         0         0         0         0         0         0         0         0
east_asia_forum                    Flow       255        26        26         0         2        24        24         0         0         0         0         0         0         0         0
hudson_institute                   Deep       115        13        13         0        13         0         0         0         0         0         0         0         0         0         0
long_now_foundation                Deep       131        21        21         0        21         0         0         0         0         0         0         0         0         0         0
macropolo_paulson_institute        Flow        65        10        10         0         5         5         5         0         0         0         0         0         0         0         0
oecd_insights                      Flow      2396        65        59         0         0        59        59         0         0         0         0         0         0         0         0
palladium_magazine                 Deep       105        18        18         0        18         0         0         0         0         0         0         0         0         0         0
the_new_atlantis                   Deep       171        35        35         0        35         0         0         0         0         0         0         0         0         0         0
the_point_magazine                 Deep       127        16        16         0        15         1         1         0         0         0         0         0         0         0         0
the_wire_china                     Flow       194        21        21         0        21         0         0         0         0         0         0         0         0         0         0
works_in_progress                  Deep       773       156        58         0        58         0         0         0         0         0         0         0         0         0         0
cato_institute                     Flow       121         3         3         0         1         2         0         1         0         1         0         1         0         1         0
rand_corporation                   Deep        87         9         9         0         8         1         0         0         0         1         0         1         0         1         0
resolution_foundation              Flow       104         3         3         0         2         1         0         0         0         1         0         1         0         1         0
german_marshall_fund               Deep        68         4         4         0         1         3         1         0         0         2         0         2         0         2         0
european_council_on_foreign_r      Flow       217        37        37         0        33         4         1         0         0         3         0         3         0         3         0
n_1_magazine                       Deep       130        12        12         0         9         3         0         0         0         3         0         3         0         3         0
americas_quarterly                 Flow       315        47        47         0        43         4         0         0         0         4         0         4         0         4         0
asia_society_policy_institute      Flow       267        31        31         0        23         8         2         2         0         4         0         4         0         4         0
carnegie_endowment                 Deep        85        21        21         0        12         9         5         0         0         4         0         4         0         4         0
hedgehog_review                    Deep        75         7         7         0         3         4         0         0         0         4         0         4         0         4         0
merics                             Flow       184        17        17         0        12         5         0         1         0         4         0         4         0         4         0
noahpinion_noah_smith              Flow        53         8         8         0         4         4         0         0         0         4         0         4         0         4         0
noema_magazine                     Deep       620        59        57         0        53         4         0         0         0         4         0         4         0         4         0
iiss                               Deep        70        16        16         0         5        11         0         4         0         7         0         7         2         5         0
santa_fe_institute                 Deep       137        21        21         0        16         5         0         0         0         5         0         5         0         5         0
slow_boring_matt_yglesias          Flow        73        16        16         0         6        10         5         0         0         5         0         5         0         5         0
project_syndicate                  Flow       284        57        20         0        11         9         3         0         0         6         0         6         0         6         0
atlantic_council                   Deep       292        25        25         0        17         8         0         0         0         8         0         8         0         8         0
council_on_foreign_relations       Deep       112        59        59         0         7        52        44         0         0         8         0         8         0         8         0
marginal_revolution_tyler_cow      Flow       245        19        19         0         2        17         9         0         0         8         0         8         0         8         0
world_bank_blogs                   Flow       133        23        23         0        14         9         0         1         0         8         0         8         0         8         0
foreign_affairs                    Flow       355        39        39         0        30         9         0         0         0         9         0         9         0         9         0
lawfare_blog                       Flow       236        55        31         0         1        30         0         0         0        30         5        25        16         9         0
csis                               Deep      1167        40        40         0         0        40        14        16         0        10         0        10         0        10         1
al_monitor                         Flow       269        57        57         0        36        21         8         1         0        12         0        12         0        12         0
engelsberg_ideas                   Deep        66        16        16         0         3        13         1         0         0        12         0        12         0        12         0
war_on_the_rocks                   Flow        84        24        24         0        11        13         0         0         0        13         0        13         0        13         0
institute_for_family_studies       Deep       270        34        34         0        20        14         0         0         0        14         0        14         0        14         0
lowy_institute_the_interprete      Flow       203        44        44         0        27        17         2         1         0        14         0        14         0        14         0
prospect_magazine                  Deep       204        66        38         0         8        30         0         0         0        30         0        30        14        16         2
foreign_policy                     Flow       537       117        50         0        26        24         1         0         0        23         0        23         0        23         0
the_diplomat                       Flow       244        73        58         0        15        43        15         1         0        27         2        25         0        25         0
nautilus                           Deep       220        39        39         0        13        26         0         0         0        26         0        26         0        26         0
