source                             tier   anchors     cands   fetched   nav_err       old   recency     short      junk   wl_drop   wl_pass  cap_drop    capped   undated  worklist  degraded
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
anyscale_ray_blog                  Deep       110        12        12         0        12         0         0         0         0         0         0         0         0         0         0
fabricated_knowledge               Deep        84        15        15         0        15         0         0         0         0         0         0         0         0         0         0
ieee_spectrum                      Deep       390        33        33         0        24         9         9         0         0         0         0         0         0         0         0
meta_ai_blog                       Deep        97        10        10         0        10         0         0         0         0         0         0         0         0         0         0
semianalysis                       Deep       201        11        11         0        10         1         1         0         0         0         0         0         0         0         0
timmerman_report                   Deep       284        50        50         0        50         0         0         0         0         0         0         0         0         0         0
mistral_blog                       Deep       224        23        23         0        22         1         0         0         0         1         0         1         0         1         0
together_ai_blog                   Deep       373        67        57         0        55         2         1         0         0         1         0         1         0         1         0
benchmark_minerals                 Deep       150        36        36         0        31         5         3         0         0         2         0         2         0         2         0
bloombergnef_free_content          Deep       219        15        15         0        12         3         1         0         0         2         0         2         0         2         0
hugging_face_blog                  Deep       103        12        12         0        10         2         0         0         0         2         0         2         0         2         0
mit_csail                          Deep       154        16        16         0        12         4         2         0         0         2         0         2         0         2         0
nature_machine_intelligence        Deep       119        27        27         0        25         2         0         0         0         2         0         2         0         2         0
weights_biases_blog                Deep       440        19        19         0        17         2         0         0         0         2         0         2         0         2         0
carbon_brief                       Deep        98        22        22         0        19         3         0         0         0         3         0         3         0         3         0
servethehome                       Deep       152        24        24         0        21         3         0         0         0         3         0         3         0         3         0
the_next_platform                  Deep       159        92        57         0        54         3         0         0         0         3         0         3         0         3         0
cohere_blog                        Deep       382        19        19         0        14         5         1         0         0         4         0         4         0         4         0
microsoft_research_blog            Deep       205        27        27         0        22         5         1         0         0         4         0         4         0         4         0
wood_mackenzie                     Deep       300        16        16         0         7         9         4         1         0         4         0         4         0         4         0
apple_ml_research                  Deep      5121      1155        30         0         0        30         0         0         0        30         0        30        25         5         0
google_ai_blog                     Deep       158        11        11         0         6         5         0         0         0         5         0         5         0         5         0
nvidia_developer_blog              Flow       180        97        54         0        49         5         0         0         0         5         0         5         0         5         0
quantum_computing_report           Deep       106        13        11         2         5         6         1         0         0         5         0         5         0         5         0
semiconductor_engineering          Deep       162        38        38         0        33         5         0         0         0         5         0         5         0         5         0
mit_technology_review              Flow       271        78        51         0        45         6         0         0         0         6         0         6         0         6         0
nature_energy                      Deep       120        33        33         0        27         6         0         0         0         6         0         6         0         6         0
wired                              Flow       166        61        30         0         9        21        15         0         0         6         0         6         0         6         0
nature_biotechnology               Deep       132        38        38         0        30         8         0         1         0         7         0         7         0         7         0
semiwiki                           Deep       339        48        48         0        29        19         3         0         0        16         0        16         0        16         0
infoq                              Flow       352        62        60         0        38        22         2         0         0        20         0        20         0        20         0
ars_technica                       Flow       203        38        30         0         0        30         0         0         0        30         5        25         0        25         0
