source                             tier   anchors     cands   fetched   nav_err       old   recency     short      junk   wl_drop   wl_pass  cap_drop    capped   undated  worklist  degraded
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
anyscale_ray_blog                  Deep       150        12        12         0        12         0         0         0         0         0         0         0         0         0         0
fabricated_knowledge               Deep        84        15        15         0        15         0         0         0         0         0         0         0         0         0         0
ieee_spectrum                      Deep       367        34        34         0        25         9         9         0         0         0         0         0         0         0         0
meta_ai_blog                       Deep        97        10        10         0        10         0         0         0         0         0         0         0         0         0         0
semianalysis                       Deep         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
timmerman_report                   Deep       284        50        50         0        49         1         1         0         0         0         0         0         0         0         0
benchmark_minerals                 Deep       150        36        36         0        31         5         4         0         0         1         0         1         0         1         0
mistral_blog                       Deep       224        23        23         0        22         1         0         0         0         1         0         1         0         1         0
the_next_platform                  Deep       156        92        59         0        58         1         0         0         0         1         0         1         0         1         0
bloombergnef_free_content          Deep       220        14        14         0        11         3         1         0         0         2         0         2         0         2         0
carbon_brief                       Deep        98        22        22         0        20         2         0         0         0         2         0         2         0         2         0
cohere_blog                        Deep       382        19        19         0        17         2         0         0         0         2         0         2         0         2         0
google_ai_blog                     Deep       160        12        12         0        10         2         0         0         0         2         0         2         0         2         0
mit_csail                          Deep       154        16        16         0        12         4         2         0         0         2         0         2         0         2         0
nature_biotechnology               Deep       132        38        38         0        35         3         0         1         0         2         0         2         0         2         0
nvidia_developer_blog              Flow       180        98        46         0        44         2         0         0         0         2         0         2         0         2         0
semiconductor_engineering          Deep       162        38        38         0        36         2         0         0         0         2         0         2         0         2         0
together_ai_blog                   Deep       373        69        58         0        55         3         1         0         0         2         0         2         0         2         0
weights_biases_blog                Deep       440        19        19         0        17         2         0         0         0         2         0         2         0         2         0
wood_mackenzie                     Deep       300        17        17         0         9         8         4         2         0         2         0         2         0         2         0
hugging_face_blog                  Deep       103        12        12         0         9         3         0         0         0         3         0         3         0         3         0
nature_energy                      Deep       120        32        32         0        29         3         0         0         0         3         0         3         0         3         0
nature_machine_intelligence        Deep       119        24        24         0        21         3         0         0         0         3         0         3         0         3         0
servethehome                       Deep       152        24        24         0        21         3         0         0         0         3         0         3         0         3         0
apple_ml_research                  Deep      5149      1161        30         0         0        30         0         0         0        30         0        30        25         5         0
microsoft_research_blog            Deep       210        27        27         0        21         6         1         0         0         5         0         5         0         5         0
quantum_computing_report           Deep       106        13        11         2         5         6         1         0         0         5         0         5         0         5         0
mit_technology_review              Flow       308        80        41         0        34         7         0         0         0         7         0         7         0         7         0
wired                              Flow       164        62        22         0        10        12         1         0         0        11         0        11         0        11         1
semiwiki                           Deep       350        49        49         0        33        16         2         0         0        14         0        14         0        14         0
infoq                              Flow       352        61        60         0        42        18         2         0         0        16         0        16         0        16         0
ars_technica                       Flow       204        38        38         0        20        18         0         0         0        18         0        18         0        18         0
