source                             tier   anchors     cands   fetched   nav_err       old   recency     short      junk   wl_drop   wl_pass  cap_drop    capped   undated  worklist  degraded
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
fabricated_knowledge               Deep        78        13        13         0        13         0         0         0         0         0         0         0         0         0         0
meta_ai_blog                       Deep        85         8         8         0         8         0         0         0         0         0         0         0         0         0         0
bloombergnef_free_content          Deep       220        14        14         0        12         2         1         0         0         1         0         1         0         1         0
semianalysis                       Deep       198        11        11         0        10         1         0         0         0         1         0         1         0         1         0
timmerman_report                   Deep       305        54        54         0        50         4         3         0         0         1         0         1         0         1         0
weights_biases_blog                Deep       435        19        19         0        18         1         0         0         0         1         0         1         0         1         0
anyscale_ray_blog                  Deep       110        15        15         0        13         2         0         0         0         2         0         2         0         2         0
ieee_spectrum                      Deep       380        36        36         0        27         9         7         0         0         2         0         2         0         2         0
mit_csail                          Deep       157        15        15         0        12         3         1         0         0         2         0         2         0         2         0
the_next_platform                  Deep       156        92        56         0        54         2         0         0         0         2         0         2         0         2         0
google_ai_blog                     Deep       159        12        12         0         9         3         0         0         0         3         0         3         0         3         0
servethehome                       Deep       152        24        24         0        21         3         0         0         0         3         0         3         0         3         0
hugging_face_blog                  Deep       103        15        15         0        11         4         0         0         0         4         0         4         0         4         0
microsoft_research_blog            Deep       212        27        27         0        22         5         1         0         0         4         0         4         0         4         0
together_ai_blog                   Deep       333        51        51         0        46         5         1         0         0         4         0         4         0         4         0
wood_mackenzie                     Deep       296        16        16         0         7         9         4         1         0         4         0         4         0         4         0
apple_ml_research                  Deep      4960      1114        31         0         0        31         0         1         0        30         0        30        25         5         0
carbon_brief                       Deep       431        31        31         0        26         5         0         0         0         5         0         5         0         5         0
cohere_blog                        Deep       298        16        16         0        11         5         0         0         0         5         0         5         0         5         0
mistral_blog                       Deep       212        21        21         0         0        21         0         0         0        21         0        21        16         5         0
mit_technology_review              Flow       275        74        55         0        50         5         0         0         0         5         0         5         0         5         0
nature_machine_intelligence        Deep       119        28        28         0        23         5         0         0         0         5         0         5         0         5         0
quantum_computing_report           Deep       104        13        11         2         5         6         1         0         0         5         0         5         0         5         0
benchmark_minerals                 Deep       148        33        33         0        24         9         3         0         0         6         0         6         0         6         0
nature_energy                      Deep       120        32        32         0        25         7         0         0         0         7         0         7         0         7         0
semiconductor_engineering          Deep       162        35        35         0        27         8         0         0         0         8         0         8         0         8         0
nvidia_developer_blog              Flow       180        96        52         0        43         9         0         0         0         9         0         9         0         9         0
infoq                              Flow       329        58        58         0        43        15         2         0         0        13         0        13         0        13         0
wired                              Flow       183        72        25         0        10        15         2         0         0        13         0        13         0        13         0
nature_biotechnology               Deep       132        39        39         0        23        16         0         1         0        15         0        15         0        15         0
semiwiki                           Deep       356        48        48         0        27        21         5         1         0        15         0        15         0        15         0
ars_technica                       Flow       205        38        30         0         0        30         0         0         0        30         5        25         0        25         0
