source                             tier   anchors     cands   fetched   nav_err       old   recency     short      junk   wl_drop   wl_pass  cap_drop    capped   undated  worklist  degraded
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
fabricated_knowledge               Deep        84        15        15         0        15         0         0         0         0         0         0         0         0         0         0
ieee_spectrum                      Deep       375        35        35         0        21        14        14         0         0         0         0         0         0         0         0
semianalysis                       Deep       201        11        11         0        10         1         1         0         0         0         0         0         0         0         0
timmerman_report                   Deep       295        52        52         0        52         0         0         0         0         0         0         0         0         0         0
anyscale_ray_blog                  Deep       150        12        12         0        11         1         0         0         0         1         0         1         0         1         0
benchmark_minerals                 Deep       150        34        34         0        33         1         0         0         0         1         0         1         0         1         0
bloombergnef_free_content          Deep       219        15        15         0        13         2         1         0         0         1         0         1         0         1         0
carbon_brief                       Deep        97        22        22         0        21         1         0         0         0         1         0         1         0         1         0
google_ai_blog                     Deep       158        12        12         0        11         1         0         0         0         1         0         1         0         1         0
hugging_face_blog                  Deep       103        12        12         0        11         1         0         0         0         1         0         1         0         1         0
mistral_blog                       Deep       220        23        23         0        22         1         0         0         0         1         0         1         0         1         0
nvidia_developer_blog              Flow       180        97        49         0        48         1         0         0         0         1         0         1         0         1         0
together_ai_blog                   Deep       358        64        56         0        54         2         1         0         0         1         0         1         0         1         0
cohere_blog                        Deep       381        19        19         0        17         2         0         0         0         2         0         2         0         2         0
meta_ai_blog                       Deep        97        10        10         0         8         2         0         0         0         2         0         2         0         2         0
the_next_platform                  Deep       156        92        59         0        57         2         0         0         0         2         0         2         0         2         0
weights_biases_blog                Deep       440        19        19         0        17         2         0         0         0         2         0         2         0         2         0
mit_csail                          Deep       155        15        15         0        11         4         1         0         0         3         0         3         0         3         0
nature_machine_intelligence        Deep       119        27        27         0        24         3         0         0         0         3         0         3         0         3         0
servethehome                       Deep       152        24        24         0        21         3         0         0         0         3         0         3         0         3         0
wood_mackenzie                     Deep       299        15        15         0         7         8         4         1         0         3         0         3         0         3         0
microsoft_research_blog            Deep       205        27        27         0        22         5         1         0         0         4         0         4         0         4         0
nature_biotechnology               Deep       132        39        39         0        34         5         0         1         0         4         0         4         0         4         0
apple_ml_research                  Deep      5099      1151        31         0         1        30         0         0         0        30         0        30        25         5         0
nature_energy                      Deep       120        32        32         0        27         5         0         0         0         5         0         5         0         5         0
quantum_computing_report           Deep       106        13        11         2         5         6         1         0         0         5         0         5         0         5         0
semiconductor_engineering          Deep       162        38        38         0        33         5         0         0         0         5         0         5         0         5         0
mit_technology_review              Flow       285        78        37         0        30         7         0         0         0         7         0         7         0         7         0
wired                              Flow       164        58        34         0        16        18        11         0         0         7         0         7         0         7         0
infoq                              Flow       360        60        59         0        40        19         2         0         0        17         0        17         0        17         0
semiwiki                           Deep       356        43        43         0        24        19         1         1         0        17         0        17         0        17         0
ars_technica                       Flow       203        38        38         0        17        21         0         0         0        21         0        21         0        21         0
