source                             tier   anchors     cands   fetched   nav_err       old   recency     short      junk   wl_drop   wl_pass  cap_drop    capped   undated  worklist
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
meta_ai_blog                       Deep        84         8         8         0         8         0         0         0         0         0         0         0         0         0
timmerman_report                   Deep       313        58        57         0        55         2         2         0         0         0         0         0         0         0
anyscale_ray_blog                  Deep       144        13        13         0        12         1         0         0         0         1         0         1         0         1
bloombergnef_free_content          Deep       220        14        14         0        12         2         1         0         0         1         0         1         0         1
fabricated_knowledge               Deep        78        13        13         0        12         1         0         0         0         1         0         1         0         1
mistral_blog                       Deep       209        20        20         0        19         1         0         0         0         1         0         1         0         1
semianalysis                       Deep       195        11        11         0        10         1         0         0         0         1         0         1         0         1
together_ai_blog                   Deep       322        48        48         0        46         2         1         0         0         1         0         1         0         1
weights_biases_blog                Deep       428        19        19         0        18         1         0         0         0         1         0         1         0         1
cohere_blog                        Deep       296        15        15         0        13         2         0         0         0         2         0         2         0         2
google_ai_blog                     Deep       223        12        12         0        10         2         0         0         0         2         0         2         0         2
ieee_spectrum                      Deep       399        36        36         0        24        12        10         0         0         2         0         2         0         2
the_next_platform                  Deep       157        92        57         0        54         3         0         0         0         3         0         3         0         3
mit_csail                          Deep       157        15        15         0        10         5         1         0         0         4         0         4         0         4
wood_mackenzie                     Deep       296        16        16         0         7         9         4         1         0         4         0         4         0         4
apple_ml_research                  Deep      4757      1066        31         0         0        31         0         1         0        30         0        30        25         5
hugging_face_blog                  Deep       102        15        15         0        10         5         0         0         0         5         0         5         0         5
microsoft_research_blog            Deep       217        27        27         0        21         6         1         0         0         5         0         5         0         5
quantum_computing_report           Deep       104        13        11         2         5         6         1         0         0         5         0         5         0         5
nature_machine_intelligence        Deep       119        26        26         0        20         6         0         0         0         6         0         6         0         6
servethehome                       Deep       152        24        24         0        18         6         0         0         0         6         0         6         0         6
benchmark_minerals                 Deep       150        33        33         0        24         9         2         0         0         7         0         7         0         7
semiconductor_engineering          Deep       162        37        37         0        30         7         0         0         0         7         0         7         0         7
nvidia_developer_blog              Flow       179        96        52         0        44         8         0         0         0         8         0         8         0         8
carbon_brief                       Deep       431        31        31         0        22         9         0         0         0         9         0         9         0         9
mit_technology_review              Flow       287        72        47         0        38         9         0         0         0         9         0         9         0         9
nature_biotechnology               Deep       131        38        38         0        29         9         0         0         0         9         0         9         0         9
nature_energy                      Deep       120        33        33         0        23        10         0         0         0        10         0        10         0        10
infoq                              Flow       343        63        58         1        41        17         0         0         0        17         0        17         0        17
wired                              Flow       192        77        21         0         0        21         2         0         0        19         0        19         0        19
semiwiki                           Deep       338        53        53         0        30        23         1         2         0        20         0        20         0        20
ars_technica                       Flow       205        38        30         0         0        30         0         0         0        30         5        25         0        25
