source                             tier   anchors     cands   fetched   nav_err       old   recency     short      junk   wl_drop   wl_pass  cap_drop    capped   undated  worklist  degraded
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
apricitas_economics                Flow        81         9         9         0         9         0         0         0         0         0         0         0         0         0         0
brookings_institution              Deep       103         7         7         0         7         0         0         0         0         0         0         0         0         0         0
center_for_american_progress       Flow       237        57        56         0         1        55        55         0         0         0         0         0         0         0         0
east_asia_forum                    Flow       317        26        26         0         3        23        23         0         0         0         0         0         0         0         0
german_marshall_fund               Deep        71         4         4         0         3         1         1         0         0         0         0         0         0         0         0
hudson_institute                   Deep       111        12        12         0        12         0         0         0         0         0         0         0         0         0         0
long_now_foundation                Deep       131        20        20         0        20         0         0         0         0         0         0         0         0         0         0
macropolo_paulson_institute        Flow        65        10        10         0         5         5         5         0         0         0         0         0         0         0         0
oecd_insights                      Flow      2396        66        59         0         0        59        59         0         0         0         0         0         0         0         0
the_diplomat                       Flow       244        69        58         0         0        58        58         0         0         0         0         0         0         0         0
the_new_atlantis                   Deep       161        32        32         0        32         0         0         0         0         0         0         0         0         0         0
the_wire_china                     Flow       195        20        20         0        20         0         0         0         0         0         0         0         0         0         0
cato_institute                     Flow       121         3         3         0         2         1         0         0         0         1         0         1         0         1         0
iiss                               Deep        89        16        16         0        11         5         0         4         0         1         0         1         0         1         0
palladium_magazine                 Deep       103        18        18         0        17         1         0         0         0         1         0         1         0         1         0
resolution_foundation              Flow       104         4         4         0         3         1         0         0         0         1         0         1         0         1         0
the_point_magazine                 Deep       132        14        14         0        12         2         1         0         0         1         0         1         0         1         0
carnegie_endowment                 Deep        84        26        26         0        23         3         1         0         0         2         0         2         0         2         0
european_council_on_foreign_r      Flow       221        38        38         0        35         3         1         0         0         2         0         2         0         2         0
merics                             Flow       183        15        15         0        11         4         0         1         0         3         0         3         0         3         0
n_1_magazine                       Deep       130        13        13         0        10         3         0         0         0         3         0         3         0         3         0
rand_corporation                   Deep        87         9         9         0         6         3         0         0         0         3         0         3         0         3         0
works_in_progress                  Deep      1057       163        56         0        53         3         0         0         0         3         0         3         0         3         0
americas_quarterly                 Flow       318        50        50         0        46         4         0         0         0         4         0         4         0         4         0
asia_society_policy_institute      Flow       262        31        31         0        25         6         2         0         0         4         0         4         0         4         0
noahpinion_noah_smith              Flow        53         8         8         0         4         4         0         0         0         4         0         4         0         4         0
noema_magazine                     Deep       625        59        56         0        52         4         0         0         0         4         0         4         0         4         0
santa_fe_institute                 Deep       132        21        21         0        17         4         0         0         0         4         0         4         0         4         0
cnas                               Flow       354        65        52         1        37        15         9         0         0         6         0         6         0         6         0
hedgehog_review                    Deep        75         9         9         0         3         6         0         0         0         6         0         6         0         6         0
slow_boring_matt_yglesias          Flow        73        15        15         0         6         9         3         0         0         6         0         6         0         6         0
council_on_foreign_relations       Deep       109        54        54         0         1        53        46         0         0         7         0         7         0         7         0
foreign_affairs                    Flow       346        40        40         0        33         7         0         0         0         7         0         7         0         7         0
world_bank_blogs                   Flow       134        22        22         0        15         7         0         0         0         7         0         7         0         7         0
institute_for_family_studies       Deep       111        10        10         0         1         9         0         0         0         9         0         9         0         9         0
marginal_revolution_tyler_cow      Flow       256        17        17         0         1        16         7         0         0         9         0         9         0         9         0
project_syndicate                  Flow       283        55        20         0         9        11         1         0         0        10         0        10         0        10         0
atlantic_council                   Deep       293        26        26         0        15        11         0         0         0        11         0        11         0        11         0
engelsberg_ideas                   Deep        93        16        16         0         4        12         1         0         0        11         0        11         0        11         0
lawfare_blog                       Flow       241        57        32         0         2        30         0         0         0        30         5        25        14        11         0
war_on_the_rocks                   Flow        85        24        24         0        11        13         1         1         0        11         0        11         0        11         0
al_monitor                         Flow       273        56        56         0        34        22         8         2         0        12         0        12         0        12         0
csis                               Deep      1184        38        38         0         0        38         7        18         0        13         0        13         0        13         0
lowy_institute_the_interprete      Flow       233        46        46         0        30        16         2         1         0        13         0        13         0        13         0
prospect_magazine                  Deep       202        73        37         0         7        30         0         0         0        30         0        30        14        16         0
foreign_policy                     Flow       487       111        46         0        21        25         1         0         0        24         0        24         0        24         0
nautilus                           Deep       219        39        39         0         9        30         0         1         0        29         0        29         0        29         0
