source                             tier   anchors     cands   fetched   nav_err       old   recency     short      junk   wl_drop   wl_pass  cap_drop    capped   undated  worklist  degraded
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
bloombergnef_free_content          Deep       220        14        14         0        13         1         1         0         0         0         0         0         0         0         0
carbon_brief                       Deep        99        23        23         0        23         0         0         0         0         0         0         0         0         0         0
fabricated_knowledge               Deep        79        13        13         0        13         0         0         0         0         0         0         0         0         0         0
google_ai_blog                     Deep       158        12        12         0        12         0         0         0         0         0         0         0         0         0         0
ieee_spectrum                      Deep       385        36        36         0        28         8         8         0         0         0         0         0         0         0         0
meta_ai_blog                       Deep        89         8         8         0         8         0         0         0         0         0         0         0         0         0         0
nvidia_developer_blog              Flow       167        96        50         0        50         0         0         0         0         0         0         0         0         0         0
semianalysis                       Deep       198        11        11         0        10         1         1         0         0         0         0         0         0         0         0
timmerman_report                   Deep       248        46        46         0        46         0         0         0         0         0         0         0         0         0         0
anyscale_ray_blog                  Deep       110        15        15         0        14         1         0         0         0         1         0         1         0         1         0
hugging_face_blog                  Deep       103        12        12         0        11         1         0         0         0         1         0         1         0         1         0
together_ai_blog                   Deep       348        58        58         0        56         2         1         0         0         1         0         1         0         1         0
cohere_blog                        Deep       303        18        18         0        16         2         0         0         0         2         0         2         0         2         0
mit_csail                          Deep       157        15        15         0        12         3         1         0         0         2         0         2         0         2         0
nature_energy                      Deep       120        33        33         0        31         2         0         0         0         2         0         2         0         2         0
nature_machine_intelligence        Deep       119        26        26         0        24         2         0         0         0         2         0         2         0         2         0
the_next_platform                  Deep       155        91        57         0        55         2         0         0         0         2         0         2         0         2         0
weights_biases_blog                Deep       434        19        19         0        17         2         0         0         0         2         0         2         0         2         0
wood_mackenzie                     Deep       296        16        16         0         9         7         4         1         0         2         0         2         0         2         0
benchmark_minerals                 Deep       150        35        35         0        32         3         0         0         0         3         0         3         0         3         0
mit_technology_review              Flow       285        75        56         0        53         3         0         0         0         3         0         3         0         3         0
servethehome                       Deep       152        24        24         0        21         3         0         0         0         3         0         3         0         3         0
microsoft_research_blog            Deep       208        27        27         0        22         5         1         0         0         4         0         4         0         4         0
nature_biotechnology               Deep       131        38        38         0        33         5         0         1         0         4         0         4         0         4         0
semiconductor_engineering          Deep       162        37        37         0        33         4         0         0         0         4         0         4         0         4         0
apple_ml_research                  Deep      5029      1133        32         0         1        31         0         1         0        30         0        30        25         5         0
mistral_blog                       Deep       217        21        21         0         0        21         0         0         0        21         0        21        16         5         0
quantum_computing_report           Deep       106        13        11         2         5         6         1         0         0         5         0         5         0         5         0
wired                              Flow       168        64        29         0        12        17         8         0         0         9         0         9         0         9         0
semiwiki                           Deep       337        43        43         0        20        23        11         0         0        12         0        12         0        12         0
infoq                              Flow       369        60        60         0        44        16         2         0         0        14         0        14         0        14         0
ars_technica                       Flow       203        38        38         0        19        19         0         0         0        19         0        19         0        19         0
