source                             tier   anchors     cands   fetched   nav_err       old   recency     short      junk   wl_drop   wl_pass  cap_drop    capped   undated  worklist
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
bloombergnef_free_content          Deep       220        13        13         0        12         1         1         0         0         0         0         0         0         0
fabricated_knowledge               Deep        78        13        13         0        13         0         0         0         0         0         0         0         0         0
mistral_blog                       Deep       209        20        20         0        20         0         0         0         0         0         0         0         0         0
wood_mackenzie                     Deep       291        11        11         0         6         5         4         1         0         0         0         0         0         0
cohere_blog                        Deep       297        15        15         0        14         1         0         0         0         1         0         1         0         1
hugging_face_blog                  Deep       102        11        11         0        10         1         0         0         0         1         0         1         0         1
ieee_spectrum                      Deep       398        34        34         0        24        10         9         0         0         1         0         1         0         1
meta_ai_blog                       Deep        84         7         7         0         6         1         0         0         0         1         0         1         0         1
semianalysis                       Deep       195        11        11         0        10         1         0         0         0         1         0         1         0         1
together_ai_blog                   Deep       327        48        48         0        46         2         1         0         0         1         0         1         0         1
weights_biases_blog                Deep       435        19        19         0        18         1         0         0         0         1         0         1         0         1
anyscale_ray_blog                  Deep       109        14        14         0        12         2         0         0         0         2         0         2         0         2
benchmark_minerals                 Deep       148        33        33         0        31         2         0         0         0         2         0         2         0         2
the_next_platform                  Deep       157        92        59         0        56         3         1         0         0         2         0         2         0         2
timmerman_report                   Deep       314        58        58         0        54         4         2         0         0         2         0         2         0         2
carbon_brief                       Deep       431        31        31         0        28         3         0         0         0         3         0         3         0         3
mit_csail                          Deep       157        15        15         0        11         4         1         0         0         3         0         3         0         3
mit_technology_review              Flow       281        74        53         0        50         3         0         0         0         3         0         3         0         3
nature_energy                      Deep       120        32        32         0        29         3         0         0         0         3         0         3         0         3
nature_machine_intelligence        Deep       119        27        27         0        24         3         0         0         0         3         0         3         0         3
nvidia_developer_blog              Flow       180        97        53         0        50         3         0         0         0         3         0         3         0         3
servethehome                       Deep       152        24        24         0        21         3         0         0         0         3         0         3         0         3
google_ai_blog                     Deep       223        12        12         0         8         4         0         0         0         4         0         4         0         4
semiconductor_engineering          Deep       162        36        36         0        32         4         0         0         0         4         0         4         0         4
apple_ml_research                  Deep      4759      1066        31         0         0        31         0         1         0        30         0        30        25         5
quantum_computing_report           Deep       104        13        11         2         5         6         1         0         0         5         0         5         0         5
microsoft_research_blog            Deep       217        27        27         0        20         7         1         0         0         6         0         6         0         6
nature_biotechnology               Deep       131        39        39         0        28        11         0         0         0        11         0        11         0        11
wired                              Flow       181        70        26         0        12        14         1         0         0        13         0        13         0        13
infoq                              Flow       351        60        59         1        45        14         0         0         0        14         0        14         0        14
semiwiki                           Deep       332        49        49         0        27        22         2         0         0        20         0        20         0        20
ars_technica                       Flow       207        38        30         0         0        30         0         0         0        30         5        25         0        25
