source                             tier   anchors     cands   fetched   nav_err       old   recency     short      junk   wl_drop   wl_pass  cap_drop    capped   undated  worklist  degraded
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
anyscale_ray_blog                  Deep       150        12        12         0        12         0         0         0         0         0         0         0         0         0         0
fabricated_knowledge               Deep        84        15        15         0        15         0         0         0         0         0         0         0         0         0         0
ieee_spectrum                      Deep       372        33        33         0        22        11        11         0         0         0         0         0         0         0         0
meta_ai_blog                       Deep        97        10        10         0        10         0         0         0         0         0         0         0         0         0         0
semianalysis                       Deep         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
timmerman_report                   Deep       284        50        50         0        50         0         0         0         0         0         0         0         0         0         0
bloombergnef_free_content          Deep       220        14        14         0        12         2         1         0         0         1         0         1         0         1         0
mistral_blog                       Deep       224        23        23         0        22         1         0         0         0         1         0         1         0         1         0
benchmark_minerals                 Deep       151        37        37         0        34         3         1         0         0         2         0         2         0         2         0
cohere_blog                        Deep       381        18        18         0        16         2         0         0         0         2         0         2         0         2         0
google_ai_blog                     Deep       160        11        11         0         9         2         0         0         0         2         0         2         0         2         0
mit_csail                          Deep       154        16        16         0        12         4         2         0         0         2         0         2         0         2         0
weights_biases_blog                Deep       440        19        19         0        17         2         0         0         0         2         0         2         0         2         0
nature_machine_intelligence        Deep       119        24        24         0        21         3         0         0         0         3         0         3         0         3         0
servethehome                       Deep       152        24        24         0        21         3         0         0         0         3         0         3         0         3         0
together_ai_blog                   Deep       374        71        58         0        54         4         1         0         0         3         0         3         0         3         0
wired                              Flow       163        61        26         0        16        10         7         0         0         3         0         3         0         3         0
nature_biotechnology               Deep       133        40        40         0        36         4         0         0         0         4         0         4         0         4         0
nature_energy                      Deep       120        32        32         0        28         4         0         0         0         4         0         4         0         4         0
the_next_platform                  Deep       156        92        59         0        55         4         0         0         0         4         0         4         0         4         0
wood_mackenzie                     Deep       303        16        16         0         6        10         4         2         0         4         0         4         0         4         0
apple_ml_research                  Deep      5151      1162        30         0         0        30         0         0         0        30         0        30        25         5         0
carbon_brief                       Deep        98        21        21         0        16         5         0         0         0         5         0         5         0         5         0
quantum_computing_report           Deep       106        13        11         2         5         6         1         0         0         5         0         5         0         5         0
microsoft_research_blog            Deep       206        27        27         0        20         7         1         0         0         6         0         6         0         6         0
semiconductor_engineering          Deep       162        38        38         0        31         7         0         0         0         7         0         7         0         7         0
hugging_face_blog                  Deep       103        15        15         0         6         9         0         0         0         9         0         9         0         9         0
mit_technology_review              Flow       308        79        48         0        39         9         0         0         0         9         0         9         0         9         0
nvidia_developer_blog              Flow       180        99        50         0        39        11         0         0         0        11         0        11         0        11         0
semiwiki                           Deep       349        48        48         0        26        22         4         0         0        18         0        18         0        18         0
infoq                              Flow       354        59        59         0        38        21         1         0         0        20         0        20         0        20         0
ars_technica                       Flow       204        38        30         0         0        30         0         0         0        30         5        25         0        25         0
