source                             tier   anchors     cands   fetched   nav_err       old   recency     short      junk   wl_drop   wl_pass  cap_drop    capped   undated  worklist
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
fabricated_knowledge               Deep        78        13        13         0        13         0         0         0         0         0         0         0         0         0
hugging_face_blog                  Deep       102        12        12         0        12         0         0         0         0         0         0         0         0         0
ieee_spectrum                      Deep       395        39        39         0        26        13        13         0         0         0         0         0         0         0
meta_ai_blog                       Deep        84         8         8         0         8         0         0         0         0         0         0         0         0         0
mistral_blog                       Deep       209        20        20         0        20         0         0         0         0         0         0         0         0         0
the_next_platform                  Deep       157        92        57         0        55         2         2         0         0         0         0         0         0         0
timmerman_report                   Deep       314        58        58         0        56         2         2         0         0         0         0         0         0         0
wood_mackenzie                     Deep       291        11        11         0         6         5         4         1         0         0         0         0         0         0
bloombergnef_free_content          Deep       220        14        14         0        12         2         1         0         0         1         0         1         0         1
google_ai_blog                     Deep       223        11        11         0        10         1         0         0         0         1         0         1         0         1
semianalysis                       Deep       195        11        11         0        10         1         0         0         0         1         0         1         0         1
together_ai_blog                   Deep       322        48        48         0        46         2         1         0         0         1         0         1         0         1
weights_biases_blog                Deep       428        19        19         0        18         1         0         0         0         1         0         1         0         1
anyscale_ray_blog                  Deep       145        14        14         0        12         2         0         0         0         2         0         2         0         2
mit_csail                          Deep       157        15        15         0        12         3         1         0         0         2         0         2         0         2
cohere_blog                        Deep       295        15        15         0        12         3         0         0         0         3         0         3         0         3
mit_technology_review              Flow       287        73        53         0        50         3         0         0         0         3         0         3         0         3
nature_machine_intelligence        Deep       119        26        26         0        23         3         0         0         0         3         0         3         0         3
servethehome                       Deep       152        24        24         0        21         3         0         0         0         3         0         3         0         3
benchmark_minerals                 Deep       148        33        33         0        28         5         1         0         0         4         0         4         0         4
semiconductor_engineering          Deep       162        37        37         0        33         4         0         0         0         4         0         4         0         4
apple_ml_research                  Deep      4757      1066        31         0         0        31         0         1         0        30         0        30        25         5
microsoft_research_blog            Deep       219        27        27         0        21         6         1         0         0         5         0         5         0         5
nvidia_developer_blog              Flow       180        96        53         0        48         5         0         0         0         5         0         5         0         5
quantum_computing_report           Deep       104        13        11         2         5         6         1         0         0         5         0         5         0         5
carbon_brief                       Deep       431        32        32         0        25         7         0         0         0         7         0         7         0         7
nature_biotechnology               Deep       131        38        38         0        31         7         0         0         0         7         0         7         0         7
nature_energy                      Deep       120        33        33         0        26         7         0         0         0         7         0         7         0         7
infoq                              Flow       343        62        59         0        47        12         1         0         0        11         0        11         0        11
semiwiki                           Deep       342        48        48         0        31        17         3         0         0        14         0        14         0        14
wired                              Flow       181        75        25         0         9        16         0         0         0        16         0        16         0        16
ars_technica                       Flow       205        38        38         0        12        26         0         0         0        26         1        25         0        25
