source                             tier   anchors     cands   fetched   nav_err       old   recency     short      junk   wl_drop   wl_pass  cap_drop    capped   undated  worklist  degraded
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
apricitas_economics                Flow        81        10        10         0        10         0         0         0         0         0         0         0         0         0         0
brookings_institution              Deep       101         7         7         0         7         0         0         0         0         0         0         0         0         0         0
center_for_american_progress       Flow       250        55        55         0         1        54        54         0         0         0         0         0         0         0         0
east_asia_forum                    Flow       260        27        27         0         5        22        22         0         0         0         0         0         0         0         0
european_council_on_foreign_r      Flow         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
hudson_institute                   Deep       109        13        13         0        13         0         0         0         0         0         0         0         0         0         0
long_now_foundation                Deep       131        20        20         0        20         0         0         0         0         0         0         0         0         0         0
macropolo_paulson_institute        Flow        65        10        10         0         5         5         5         0         0         0         0         0         0         0         0
n_1_magazine                       Deep         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
oecd_insights                      Flow      2396        65        59         0         0        59        59         0         0         0         0         0         0         0         0
rand_corporation                   Deep        87        10        10         0        10         0         0         0         0         0         0         0         0         0         0
the_new_atlantis                   Deep         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
cato_institute                     Flow       121         3         3         0         2         1         0         0         0         1         0         1         0         1         0
german_marshall_fund               Deep        68         4         4         0         2         2         1         0         0         1         0         1         0         1         0
resolution_foundation              Flow       104         5         5         0         4         1         0         0         0         1         0         1         0         1         0
works_in_progress                  Deep      1000       158        57         0        56         1         0         0         0         1         0         1         0         1         0
cnas                               Flow       357        65        55         0        48         7         5         0         0         2         0         2         0         2         0
palladium_magazine                 Deep       104        18        18         0        16         2         0         0         0         2         0         2         0         2         0
the_point_magazine                 Deep       132        16        16         0        13         3         1         0         0         2         0         2         0         2         0
merics                             Flow       184        16        16         0        12         4         0         1         0         3         0         3         0         3         0
hedgehog_review                    Deep        76         7         7         0         3         4         0         0         0         4         0         4         0         4         0
noahpinion_noah_smith              Flow        53         8         8         0         4         4         0         0         0         4         0         4         0         4         0
noema_magazine                     Deep       622        60        56         0        52         4         0         0         0         4         0         4         0         4         0
santa_fe_institute                 Deep       133        20        20         0        16         4         0         0         0         4         0         4         0         4         0
carnegie_endowment                 Deep        86        22        22         0        12        10         5         0         0         5         0         5         0         5         0
council_on_foreign_relations       Deep       109        55        55         0         5        50        45         0         0         5         0         5         0         5         0
iiss                               Deep        89        16        16         0         5        11         0         4         0         7         0         7         2         5         0
slow_boring_matt_yglesias          Flow        73        16        16         0         6        10         5         0         0         5         0         5         0         5         0
the_wire_china                     Flow       194        21        21         0        15         6         0         0         0         6         0         6         0         6         0
americas_quarterly                 Flow       316        50        50         0        43         7         0         0         0         7         0         7         0         7         0
asia_society_policy_institute      Flow       259        30        30         0        21         9         2         0         0         7         0         7         0         7         0
institute_for_family_studies       Deep       112        13        13         0         6         7         0         0         0         7         0         7         0         7         0
world_bank_blogs                   Flow       134        22        22         0        15         7         0         0         0         7         0         7         0         7         0
project_syndicate                  Flow       293        60        19         0         9        10         2         0         0         8         0         8         0         8         0
engelsberg_ideas                   Deep        91        15        15         0         5        10         1         0         0         9         0         9         0         9         0
atlantic_council                   Deep       292        25        25         0        15        10         0         0         0        10         0        10         0        10         0
foreign_affairs                    Flow       350        38        38         0        28        10         0         0         0        10         0        10         0        10         0
marginal_revolution_tyler_cow      Flow       263        34        34         0        18        16         6         0         0        10         0        10         0        10         0
al_monitor                         Flow       268        58        48         0        22        26         9         6         0        11         0        11         0        11         0
lawfare_blog                       Flow       230        58        34         0         4        30         0         0         0        30         5        25        14        11         0
war_on_the_rocks                   Flow        84        26        26         0        12        14         1         0         0        13         0        13         0        13         0
csis                               Deep      1175        41        41         0         0        41         8        19         0        14         0        14         0        14         0
prospect_magazine                  Deep       214        69        54         0        20        34         6         0         0        28         0        28        14        14         3
lowy_institute_the_interprete      Flow       225        44        44         0        26        18         1         1         0        16         0        16         0        16         0
the_diplomat                       Flow       244        74        58         0        15        43        21         1         0        21         0        21         0        21         0
foreign_policy                     Flow       486       107        46         0        18        28         1         0         0        27         2        25         0        25         0
nautilus                           Deep       218        39        39         0        13        26         1         0         0        25         0        25         0        25         0
