source                             tier   anchors     cands   fetched   nav_err       old   recency     short      junk   wl_drop   wl_pass  cap_drop    capped   undated  worklist
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
fabricated_knowledge               Deep        78        13        13         0        13         0         0         0         0         0         0         0         0         0
ieee_spectrum                      Deep       387        35        35         0        24        11        11         0         0         0         0         0         0         0
mistral_blog                       Deep       211        20        20         0        20         0         0         0         0         0         0         0         0         0
timmerman_report                   Deep       314        58        58         0        58         0         0         0         0         0         0         0         0         0
anyscale_ray_blog                  Deep       109        14        14         0        13         1         0         0         0         1         0         1         0         1
bloombergnef_free_content          Deep       220        14        14         0        12         2         1         0         0         1         0         1         0         1
cohere_blog                        Deep       297        14        14         0        13         1         0         0         0         1         0         1         0         1
meta_ai_blog                       Deep        85         8         8         0         7         1         0         0         0         1         0         1         0         1
semianalysis                       Deep       195        11        11         0        10         1         0         0         0         1         0         1         0         1
together_ai_blog                   Deep       333        48        48         0        46         2         1         0         0         1         0         1         0         1
weights_biases_blog                Deep       435        19        19         0        18         1         0         0         0         1         0         1         0         1
benchmark_minerals                 Deep       150        33        33         0        28         5         3         0         0         2         0         2         0         2
google_ai_blog                     Deep       223        12        12         0        10         2         0         0         0         2         0         2         0         2
mit_csail                          Deep       157        15        15         0        12         3         1         0         0         2         0         2         0         2
the_next_platform                  Deep       157        91        59         0        56         3         1         0         0         2         0         2         0         2
carbon_brief                       Deep       431        32        32         0        28         4         0         1         0         3         0         3         0         3
nature_machine_intelligence        Deep       119        28        28         0        25         3         0         0         0         3         0         3         0         3
servethehome                       Deep       152        24        24         0        21         3         0         0         0         3         0         3         0         3
mit_technology_review              Flow       283        74        55         0        51         4         0         0         0         4         0         4         0         4
nature_energy                      Deep       120        32        32         0        28         4         0         0         0         4         0         4         0         4
wood_mackenzie                     Deep       296        16        16         0         7         9         4         1         0         4         0         4         0         4
apple_ml_research                  Deep      4903      1100        30         0         0        30         0         0         0        30         0        30        25         5
microsoft_research_blog            Deep       216        27        27         0        21         6         1         0         0         5         0         5         0         5
quantum_computing_report           Deep       104        13        11         2         5         6         1         0         0         5         0         5         0         5
hugging_face_blog                  Deep       103        14        14         0         7         7         0         0         0         7         0         7         0         7
nvidia_developer_blog              Flow       180        96        55         0        48         7         0         0         0         7         0         7         0         7
nature_biotechnology               Deep       131        39        39         0        30         9         0         0         0         9         0         9         0         9
semiconductor_engineering          Deep       162        37        37         0        27        10         0         0         0        10         0        10         0        10
semiwiki                           Deep       338        47        47         0        29        18         3         0         0        15         0        15         0        15
wired                              Flow       175        71        28         0         8        20         2         1         0        17         0        17         0        17
infoq                              Flow       349        61        59         0        40        19         1         0         0        18         0        18         0        18
ars_technica                       Flow       204        38        31         0         0        31         0         1         0        30         5        25         0        25
