source                             tier   anchors     cands   fetched   nav_err       old   recency     short      junk   wl_drop   wl_pass  cap_drop    capped   undated  worklist  degraded
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
anyscale_ray_blog                  Deep       151        12        12         0        12         0         0         0         0         0         0         0         0         0         0
bloombergnef_free_content          Deep       219        15        15         0        14         1         1         0         0         0         0         0         0         0         0
fabricated_knowledge               Deep        84        15        15         0        15         0         0         0         0         0         0         0         0         0         0
google_ai_blog                     Deep       158        12        12         0        12         0         0         0         0         0         0         0         0         0         0
hugging_face_blog                  Deep       103        12        12         0        12         0         0         0         0         0         0         0         0         0         0
ieee_spectrum                      Deep       375        35        35         0        23        12        12         0         0         0         0         0         0         0         0
meta_ai_blog                       Deep        97        10        10         0        10         0         0         0         0         0         0         0         0         0         0
nvidia_developer_blog              Flow       180        97        51         0        51         0         0         0         0         0         0         0         0         0         0
semianalysis                       Deep       201        11        11         0        10         1         1         0         0         0         0         0         0         0         0
the_next_platform                  Deep       156        92        59         0        59         0         0         0         0         0         0         0         0         0         0
timmerman_report                   Deep       284        50        50         0        50         0         0         0         0         0         0         0         0         0         0
benchmark_minerals                 Deep       150        35        35         0        32         3         2         0         0         1         0         1         0         1         0
mistral_blog                       Deep       223        23        23         0        22         1         0         0         0         1         0         1         0         1         0
nature_energy                      Deep       120        33        33         0        31         2         0         0         0         2         0         2         0         2         0
nature_machine_intelligence        Deep       119        27        27         0        25         2         0         0         0         2         0         2         0         2         0
semiconductor_engineering          Deep       162        38        38         0        36         2         0         0         0         2         0         2         0         2         0
together_ai_blog                   Deep       373        67        58         0        55         3         1         0         0         2         0         2         0         2         0
weights_biases_blog                Deep       440        19        19         0        17         2         0         0         0         2         0         2         0         2         0
cohere_blog                        Deep       382        18        18         0        15         3         0         0         0         3         0         3         0         3         0
mit_csail                          Deep       154        16        16         0        11         5         2         0         0         3         0         3         0         3         0
nature_biotechnology               Deep       131        38        38         0        34         4         0         1         0         3         0         3         0         3         0
servethehome                       Deep       152        24        24         0        21         3         0         0         0         3         0         3         0         3         0
microsoft_research_blog            Deep       205        27        27         0        22         5         1         0         0         4         0         4         0         4         0
mit_technology_review              Flow       271        77        28         0        24         4         0         0         0         4         0         4         0         4         0
wood_mackenzie                     Deep       302        16        16         0         7         9         4         1         0         4         0         4         0         4         0
apple_ml_research                  Deep      5116      1154        30         0         0        30         0         0         0        30         0        30        25         5         0
carbon_brief                       Deep        98        22        22         0        17         5         0         0         0         5         0         5         0         5         0
quantum_computing_report           Deep       106        13        11         2         5         6         1         0         0         5         0         5         0         5         0
wired                              Flow       166        58        26         0         9        17         8         0         0         9         0         9         0         9         0
semiwiki                           Deep       356        43        43         0        29        14         3         0         0        11         0        11         0        11         0
infoq                              Flow       356        63        60         0        43        17         2         0         0        15         0        15         0        15         0
ars_technica                       Flow       205        38        38         0        20        18         0         0         0        18         0        18         0        18         0
