source                             tier   anchors     cands   fetched   nav_err       old   recency     short      junk   wl_drop   wl_pass  cap_drop    capped   undated  worklist  degraded
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
bloombergnef_free_content          Deep       220        14        14         0        13         1         1         0         0         0         0         0         0         0         0
fabricated_knowledge               Deep        78        13        13         0        13         0         0         0         0         0         0         0         0         0         0
ieee_spectrum                      Deep       382        38        38         0        28        10        10         0         0         0         0         0         0         0         0
meta_ai_blog                       Deep        85         8         8         0         8         0         0         0         0         0         0         0         0         0         0
mistral_blog                       Deep       212        21        21         0        21         0         0         0         0         0         0         0         0         0         0
wood_mackenzie                     Deep       291        11        11         0         6         5         4         1         0         0         0         0         0         0         0
anyscale_ray_blog                  Deep       109        14        14         0        13         1         0         0         0         1         0         1         0         1         0
carbon_brief                       Deep       431        33        33         0        32         1         0         0         0         1         0         1         0         1         0
cohere_blog                        Deep       298        14        14         0        13         1         0         0         0         1         0         1         0         1         0
google_ai_blog                     Deep       223        13        13         0        12         1         0         0         0         1         0         1         0         1         0
semianalysis                       Deep       198        11        11         0        10         1         0         0         0         1         0         1         0         1         0
the_next_platform                  Deep       156        91        58         0        57         1         0         0         0         1         0         1         0         1         0
timmerman_report                   Deep       323        60        58         0        56         2         1         0         0         1         0         1         0         1         0
together_ai_blog                   Deep       333        48        48         0        46         2         1         0         0         1         0         1         0         1         0
weights_biases_blog                Deep       435        19        19         0        18         1         0         0         0         1         0         1         0         1         0
benchmark_minerals                 Deep       150        33        33         0        30         3         1         0         0         2         0         2         0         2         0
hugging_face_blog                  Deep       103        14        14         0        12         2         0         0         0         2         0         2         0         2         0
mit_csail                          Deep       157        15        15         0        12         3         1         0         0         2         0         2         0         2         0
mit_technology_review              Flow       276        75        57         0        55         2         0         0         0         2         0         2         0         2         0
nvidia_developer_blog              Flow       180        96        56         0        53         3         0         0         0         3         0         3         0         3         0
semiconductor_engineering          Deep       162        35        35         0        32         3         0         0         0         3         0         3         0         3         0
servethehome                       Deep       152        24        24         0        21         3         0         0         0         3         0         3         0         3         0
microsoft_research_blog            Deep       212        27        27         0        21         6         2         0         0         4         0         4         0         4         0
nature_biotechnology               Deep       131        39        39         0        35         4         0         0         0         4         0         4         0         4         0
apple_ml_research                  Deep      4919      1104        31         0         0        31         0         1         0        30         0        30        25         5         0
quantum_computing_report           Deep       104        13        11         2         5         6         1         0         0         5         0         5         0         5         0
nature_energy                      Deep       120        32        32         0        26         6         0         0         0         6         0         6         0         6         0
nature_machine_intelligence        Deep       120        28        28         0        21         7         0         0         0         7         0         7         0         7         0
infoq                              Flow       328        61        58         1        45        13         1         0         0        12         0        12         0        12         0
semiwiki                           Deep       347        46        46         0        32        14         2         0         0        12         0        12         0        12         0
wired                              Flow       176        71        33         0        15        18         1         0         0        17         0        17         0        17         0
ars_technica                       Flow       203        38        38         0        20        18         0         0         0        18         0        18         0        18         0
