source                             tier   anchors     cands   fetched   nav_err       old   recency     short      junk   wl_drop   wl_pass  cap_drop    capped   undated  worklist  degraded
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
anyscale_ray_blog                  Deep       109        12        12         0        12         0         0         0         0         0         0         0         0         0         0
fabricated_knowledge               Deep        84        15        15         0        15         0         0         0         0         0         0         0         0         0         0
google_ai_blog                     Deep       160        12        12         0        12         0         0         0         0         0         0         0         0         0         0
ieee_spectrum                      Deep       370        37        37         0        27        10        10         0         0         0         0         0         0         0         0
meta_ai_blog                       Deep        97        10        10         0        10         0         0         0         0         0         0         0         0         0         0
semianalysis                       Deep         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
timmerman_report                   Deep       284        50        50         0        50         0         0         0         0         0         0         0         0         0         0
benchmark_minerals                 Deep       150        36        36         0        34         2         1         0         0         1         0         1         0         1         0
bloombergnef_free_content          Deep       220        14        14         0        12         2         1         0         0         1         0         1         0         1         0
mistral_blog                       Deep       224        23        23         0        22         1         0         0         0         1         0         1         0         1         0
the_next_platform                  Deep       156        92        59         0        56         3         2         0         0         1         0         1         0         1         0
together_ai_blog                   Deep       373        69        57         0        55         2         1         0         0         1         0         1         0         1         0
carbon_brief                       Deep        98        22        22         0        20         2         0         0         0         2         0         2         0         2         0
cohere_blog                        Deep       382        19        19         0        17         2         0         0         0         2         0         2         0         2         0
mit_csail                          Deep       154        16        16         0        12         4         2         0         0         2         0         2         0         2         0
nature_machine_intelligence        Deep       119        24        24         0        22         2         0         0         0         2         0         2         0         2         0
semiconductor_engineering          Deep       162        38        38         0        36         2         0         0         0         2         0         2         0         2         0
weights_biases_blog                Deep       440        19        19         0        17         2         0         0         0         2         0         2         0         2         0
nature_biotechnology               Deep       133        40        40         0        37         3         0         0         0         3         0         3         0         3         0
hugging_face_blog                  Deep       103        12        12         0         8         4         0         0         0         4         0         4         0         4         0
nature_energy                      Deep       120        32        32         0        28         4         0         0         0         4         0         4         0         4         0
servethehome                       Deep       152        24        24         0        20         4         0         0         0         4         0         4         0         4         0
wood_mackenzie                     Deep       303        17        17         0         7        10         4         2         0         4         0         4         0         4         0
apple_ml_research                  Deep      5149      1161        30         0         0        30         0         0         0        30         0        30        25         5         0
microsoft_research_blog            Deep       210        27        27         0        21         6         1         0         0         5         0         5         0         5         0
nvidia_developer_blog              Flow       180        99        52         0        47         5         0         0         0         5         0         5         0         5         0
quantum_computing_report           Deep       106        13        11         2         5         6         1         0         0         5         0         5         0         5         0
mit_technology_review              Flow       308        80        43         0        36         7         0         0         0         7         0         7         0         7         0
wired                              Flow       164        65        23         0        12        11         3         0         0         8         0         8         0         8         0
semiwiki                           Deep       349        50        50         0        35        15         3         0         0        12         0        12         0        12         0
infoq                              Flow       348        60        59         0        45        14         1         0         0        13         0        13         0        13         0
ars_technica                       Flow       202        38        38         0        20        18         0         0         0        18         0        18         0        18         0
