source                             tier   anchors     cands   fetched   nav_err       old   recency     short      junk   wl_drop   wl_pass  cap_drop    capped   undated  worklist  degraded
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
carbon_brief                       Deep        99        23        23         0        23         0         0         0         0         0         0         0         0         0         0
fabricated_knowledge               Deep        84        15        15         0        15         0         0         0         0         0         0         0         0         0         0
ieee_spectrum                      Deep       387        32        32         0        21        11        11         0         0         0         0         0         0         0         0
meta_ai_blog                       Deep        86         8         8         0         8         0         0         0         0         0         0         0         0         0         0
mistral_blog                       Deep       221        22        22         0        22         0         0         0         0         0         0         0         0         0         0
semianalysis                       Deep       201        11        11         0        10         1         1         0         0         0         0         0         0         0         0
timmerman_report                   Deep       296        53        53         0        51         2         2         0         0         0         0         0         0         0         0
anyscale_ray_blog                  Deep       150        13        13         0        12         1         0         0         0         1         0         1         0         1         0
benchmark_minerals                 Deep       150        33        33         0        31         2         1         0         0         1         0         1         0         1         0
bloombergnef_free_content          Deep       219        15        15         0        13         2         1         0         0         1         0         1         0         1         0
nvidia_developer_blog              Flow       180        97        48         0        47         1         0         0         0         1         0         1         0         1         0
google_ai_blog                     Deep       158        11        11         0         9         2         0         0         0         2         0         2         0         2         0
hugging_face_blog                  Deep       103         9         9         0         7         2         0         0         0         2         0         2         0         2         0
the_next_platform                  Deep       156        92        58         0        56         2         0         0         0         2         0         2         0         2         0
together_ai_blog                   Deep       352        64        57         0        54         3         1         0         0         2         0         2         0         2         0
weights_biases_blog                Deep       440        19        19         0        17         2         0         0         0         2         0         2         0         2         0
wood_mackenzie                     Deep       296        14        14         0         7         7         4         1         0         2         0         2         0         2         0
mit_csail                          Deep       156        15        15         0        11         4         1         0         0         3         0         3         0         3         0
mit_technology_review              Flow       285        75        54         0        51         3         0         0         0         3         0         3         0         3         0
nature_energy                      Deep       120        32        32         0        29         3         0         0         0         3         0         3         0         3         0
servethehome                       Deep       152        24        24         0        21         3         0         0         0         3         0         3         0         3         0
cohere_blog                        Deep       380        20        20         0        16         4         0         0         0         4         0         4         0         4         0
microsoft_research_blog            Deep       202        27        27         0        22         5         1         0         0         4         0         4         0         4         0
nature_machine_intelligence        Deep       120        26        26         0        22         4         0         0         0         4         0         4         0         4         0
semiconductor_engineering          Deep       162        38        38         0        34         4         0         0         0         4         0         4         0         4         0
apple_ml_research                  Deep      5095      1150        31         0         1        30         0         0         0        30         0        30        25         5         0
quantum_computing_report           Deep       106        13        11         2         5         6         1         0         0         5         0         5         0         5         0
nature_biotechnology               Deep       131        37        37         0        30         7         0         1         0         6         0         6         0         6         0
semiwiki                           Deep       341        44        44         0        29        15         4         0         0        11         0        11         0        11         0
infoq                              Flow       365        60        59         0        44        15         2         0         0        13         0        13         0        13         0
wired                              Flow       169        61        27         0         8        19         5         0         0        14         0        14         0        14         0
ars_technica                       Flow       207        38        38         0        12        26         0         0         0        26         1        25         0        25         0
